OBJECTID,GNISID,NAME,CLASS,STATE,FIPSST,COUNTYNAME,FIPSCO,LATITUDE,LONGITUDE,ELEV_METER,ELEV_FEET,TOPOMAP,DATE_CREAT,DATE_EDITE
"114473",1305351.00000000000,Boonshill,Populated Place,TN,"47",Lincoln,"103",35.21257940000,-86.74194360000,"216","709",Boonshill,05/19/1980,
"113880",1296783.00000000000,Park Grove,Populated Place,TN,"47",Lawrence,"099",35.31174560000,-87.37307210000,"294","965",Ethridge,05/19/1980,
"126283",1315883.00000000000,Screamer,Populated Place,TN,"47",Maury,"119",35.44396520000,-87.15973170000,"265","869",Sandy Hook,05/19/1980,
"119382",1314831.00000000000,Chestnut Ridge,Populated Place,TN,"47",Lincoln,"103",35.33479900000,-86.53832820000,"348","1142",Belleville,05/19/1980,
"128204",1313066.00000000000,Glaze,Populated Place,TN,"47",Rutherford,"149",35.86256530000,-86.42138110000,"174","571",Murfreesboro,03/01/1990,
"128536",1313140.00000000000,Paschal Estates,Populated Place,TN,"47",Rutherford,"149",35.84562100000,-86.46777010000,"185","607",Murfreesboro,03/01/1990,
"115469",1314320.00000000000,Spivey,Populated Place,TN,"47",Macon,"111",36.59533350000,-85.82720050000,"285","935",Red Boiling Springs,05/19/1980,
"116465",1303234.00000000000,Cherokee Village,Populated Place,TN,"47",Sullivan,"163",36.55510070000,-82.55904090000,"364","1194",Kingsport,08/01/1991,
"116133",1303185.00000000000,Matuta (historical),Populated Place,TN,"47",Washington,"179",36.25760460000,-82.59570530000,"439","1440",Leesburg,08/01/1991,
"114544",1299326.00000000000,Richard City,Populated Place,TN,"47",Marion,"115",34.99424750000,-85.72497140000,"194","636",Bridgeport,05/19/1980,
"114805",1305567.00000000000,Butler,Populated Place,TN,"47",Johnson,"091",36.35345060000,-82.03234430000,"611","2005",Watauga Dam,05/19/1980,08/29/2019
"111556",1283436.00000000000,Eastview,Populated Place,TN,"47",McNairy,"109",35.07564080000,-88.54532500000,"159","522",Guys,05/19/1980,03/20/2008
"115208",1306325.00000000000,Dellrose,Populated Place,TN,"47",Lincoln,"103",35.11313760000,-86.80139000000,"205","673",Dellrose,05/19/1980,
"115137",1295962.00000000000,Northpoint,Populated Place,TN,"47",Monroe,"123",35.62229670000,-84.47798500000,"348","1142",Sweetwater,05/19/1980,
"116797",1308070.00000000000,Westmoreland Heights,Populated Place,TN,"47",Blount,"009",35.70647110000,-84.02212810000,"336","1102",Binfield,05/01/1989,
"118386",1309611.00000000000,Vancouver (historical),Populated Place,TN,"47",Loudon,"105",35.87368890000,-84.26519820000,"245","804",Lenoir City,06/01/1989,
"149761",1647632.00000000000,Chestnut Glade,Populated Place,TN,"47",Weakley,"183",36.44811650000,-88.77505670000,"130","427",McConnell,12/01/1989,
"120710",1315107.00000000000,Gentry,Populated Place,TN,"47",Putnam,"141",36.18144890000,-85.74609370000,"313","1027",Baxter,05/19/1980,
"110963",1281827.00000000000,Cumberland Estates,Populated Place,TN,"47",Knox,"093",35.98397000000,-84.01268800000,"322","1056",Bearden,05/19/1980,
"115801",1314342.00000000000,Stokes Mill,Populated Place,TN,"47",Anderson,"001",36.18035700000,-83.97741400000,"297","974",Big Ridge Park,05/19/1980,
"114876",1306195.00000000000,Cross Plains,Populated Place,TN,"47",Robertson,"147",36.54865510000,-86.69610710000,"227","745",Orlinda,05/19/1980,03/20/2008
"121042",1315129.00000000000,Goin,Populated Place,TN,"47",Claiborne,"025",36.42341360000,-83.72213430000,"425","1394",Clouds,05/19/1980,
"119121",1314791.00000000000,Canadaville,Populated Place,TN,"47",Fayette,"047",35.15231120000,-89.59369030000,"121","397",Oakland,05/19/1980,
"115563",1300964.00000000000,Scotts Hill,Populated Place,TN,"47",Decatur,"039",35.51507290000,-88.24531580000,"158","518",Scotts Hill,05/19/1980,05/12/2008
"114567",1299490.00000000000,River Heights,Populated Place,TN,"47",Hardin,"071",35.22008150000,-88.31309450000,"130","427",Pittsburg Landing,05/19/1980,
"111579",1283594.00000000000,Elbethel,Populated Place,TN,"47",Bedford,"003",35.51840460000,-86.50666090000,"222","728",Unionville,05/19/1980,
"126260",1315859.00000000000,Saint Andrews,Populated Place,TN,"47",Franklin,"051",35.21119250000,-85.89247770000,"592","1942",Sewanee,05/19/1980,
"125264",1315747.00000000000,Pocahontas,Populated Place,TN,"47",Coffee,"031",35.63729500000,-86.04526640000,"327","1073",Hollow Springs,05/19/1980,
"121944",1311341.00000000000,Bluffpoint (historical),Populated Place,TN,"47",Hickman,"081",35.75617950000,-87.32390020000,"213","699",Littlelot,10/01/1989,
"115114",1295667.00000000000,New Zion,Populated Place,TN,"47",Macon,"111",36.56976840000,-86.17332030000,"287","942",Westmoreland,05/19/1980,
"121397",1311109.00000000000,Olive Branch,Populated Place,TN,"47",Lauderdale,"097",35.73480010000,-89.67452310000,"98","322",Fort Pillow,09/01/1989,
"126924",1312788.00000000000,Springcrest,Populated Place,TN,"47",Hamilton,"065",35.20062540000,-85.21162400000,"251","823",Daisy,02/01/1990,
"112575",1276415.00000000000,Barton Mill,Populated Place,TN,"47",McMinn,"107",35.51924000000,-84.60937980000,"265","869",Niota,05/19/1980,
"116774",1308023.00000000000,Springfield,Populated Place,TN,"47",Blount,"009",35.77119470000,-83.93601370000,"319","1047",Maryville,05/01/1989,
"116110",1303077.00000000000,Bemberg,Populated Place,TN,"47",Carter,"019",36.33621840000,-82.24152270000,"482","1581",Elizabethton,08/01/1991,
"114450",1305100.00000000000,Belvins,Populated Place,TN,"47",Hawkins,"073",36.46148400000,-82.93599760000,"373","1224",Burem,05/19/1980,
"117106",1303407.00000000000,Windy Hill,Populated Place,TN,"47",Sullivan,"163",36.52593660000,-82.25930220000,"456","1496",Blountville,08/01/1991,
"114118",1298387.00000000000,Powder Springs,Populated Place,TN,"47",Grainger,"057",36.25369450000,-83.66962830000,"371","1217",Powder Springs,05/19/1980,
"114782",1313578.00000000000,Greenlawn,Populated Place,TN,"47",Shelby,"157",35.09509080000,-89.83341960000,"101","331",Germantown,07/01/1990,
